"REF_DATE","GEO","DGUID","Household income","Energy type","Energy consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Income not stated","Electricity","Proportion of total energy","Percent","239","units","0","v101904636","1.8.2.3","39.9","","","","1"
"2011","Canada","2016A000011124","Income not stated","Electricity","Number of households","Number","223","units","0","v101904637","1.8.2.4","2614989","","","","0"
"2011","Canada","2016A000011124","Income not stated","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904638","1.8.3.1","139772954","","","","0"
"2011","Canada","2016A000011124","Income not stated","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904639","1.8.3.2","97.3","","","","1"
"2011","Canada","2016A000011124","Income not stated","Natural gas","Proportion of total energy","Percent","239","units","0","v101904640","1.8.3.3","55.1","","","","1"
"2011","Canada","2016A000011124","Income not stated","Natural gas","Number of households","Number","223","units","0","v101904641","1.8.3.4","1436073","","","","0"
"2011","Canada","2016A000011124","Income not stated","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904642","1.8.4.1","12666744","","","","0"
"2011","Canada","2016A000011124","Income not stated","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904643","1.8.4.2","69.7","","","","1"
"2011","Canada","2016A000011124","Income not stated","Heating oil","Proportion of total energy","Percent","239","units","0","v101904644","1.8.4.3","5.0","","","","1"
"2011","Canada","2016A000011124","Income not stated","Heating oil","Number of households","Number","223","units","0","v101904645","1.8.4.4","181743","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v105819982","2.1.1.1","1929004","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v105819983","2.1.1.2","63.0","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Total, all energy types","Number of households","Number","223","units","0","v105819985","2.1.1.4","30640","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Electricity","Gigajoules","Gigajoules","143","units","0","v105819986","2.1.2.1","1681473","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Electricity","Gigajoules per household","Gigajoules","143","units","0","v105819987","2.1.2.2","54.9","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Electricity","Proportion of total energy","Percent","239","units","0","v105819988","2.1.2.3","87.2","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Electricity","Number of households","Number","223","units","0","v105819989","2.1.2.4","30640","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Natural gas","Gigajoules","Gigajoules","143","units","0","v105819990","2.1.3.1","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v105819991","2.1.3.2","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Natural gas","Proportion of total energy","Percent","239","units","0","v105819992","2.1.3.3","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Natural gas","Number of households","Number","223","units","0","v105819993","2.1.3.4","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Heating oil","Gigajoules","Gigajoules","143","units","0","v105819994","2.1.4.1","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v105819995","2.1.4.2","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Heating oil","Proportion of total energy","Percent","239","units","0","v105819996","2.1.4.3","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","Under $20,000 (includes income loss)","Heating oil","Number of households","Number","223","units","0","v105819997","2.1.4.4","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v105819998","2.2.1.1","2788461","","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v105819999","2.2.1.2","77.1","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Total, all energy types","Number of households","Number","223","units","0","v105820001","2.2.1.4","36171","","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Electricity","Gigajoules","Gigajoules","143","units","0","v105820002","2.2.2.1","1904728","","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v105820003","2.2.2.2","52.7","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Electricity","Proportion of total energy","Percent","239","units","0","v105820004","2.2.2.3","68.3","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Electricity","Number of households","Number","223","units","0","v105820005","2.2.2.4","36171","","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v105820006","2.2.3.1","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v105820007","2.2.3.2","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Natural gas","Proportion of total energy","Percent","239","units","0","v105820008","2.2.3.3","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Natural gas","Number of households","Number","223","units","0","v105820009","2.2.3.4","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v105820010","2.2.4.1","840499","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v105820011","2.2.4.2","71.3","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Heating oil","Proportion of total energy","Percent","239","units","0","v105820012","2.2.4.3","30.1","E","","","1"
"2011","Newfoundland and Labrador","2016A000210","$20,000 to $39,999","Heating oil","Number of households","Number","223","units","0","v105820013","2.2.4.4","11786","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v105820014","2.3.1.1","1844903","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v105820015","2.3.1.2","76.7","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Total, all energy types","Number of households","Number","223","units","0","v105820017","2.3.1.4","24046","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Electricity","Gigajoules","Gigajoules","143","units","0","v105820018","2.3.2.1","1264596","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v105820019","2.3.2.2","52.6","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Electricity","Proportion of total energy","Percent","239","units","0","v105820020","2.3.2.3","68.5","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Electricity","Number of households","Number","223","units","0","v105820021","2.3.2.4","24046","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v105820022","2.3.3.1","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v105820023","2.3.3.2","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Natural gas","Proportion of total energy","Percent","239","units","0","v105820024","2.3.3.3","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Natural gas","Number of households","Number","223","units","0","v105820025","2.3.3.4","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v105820026","2.3.4.1","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v105820027","2.3.4.2","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Heating oil","Proportion of total energy","Percent","239","units","0","v105820028","2.3.4.3","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","$40,000 to $59,999","Heating oil","Number of households","Number","223","units","0","v105820029","2.3.4.4","","F","","","0"
"2011","Newfoundland and Labrador","2016A000210","$60,000 to $79,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v105820030","2.4.1.1","2246452","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$60,000 to $79,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v105820031","2.4.1.2","99.9","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$60,000 to $79,999","Total, all energy types","Number of households","Number","223","units","0","v105820033","2.4.1.4","22480","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$60,000 to $79,999","Electricity","Gigajoules","Gigajoules","143","units","0","v105820034","2.4.2.1","1830917","E","","","0"
"2011","Newfoundland and Labrador","2016A000210","$60,000 to $79,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v105820035","2.4.2.2","81.4","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$60,000 to $79,999","Electricity","Proportion of total energy","Percent","239","units","0","v105820036","2.4.2.3","81.5","","","","1"
"2011","Newfoundland and Labrador","2016A000210","$60,000 to $79,999","Electricity","Number of households","Number","223","units","0","v105820037","2.4.2.4","22480","E","","","0"
